Membership No  Date Joined  Active  
    32206      2016-6-19    no    
    82684      2020-4-10    no    
    56517      2019-3-16    no    
    67418      2018-1-17    no    
    45937      2016-4-18    no    
    30865      2019-6-15    no    
    12558      2019-10-8    no    
    94869      2015-10-17   no    
    62324      2016-1-6     no    
    45667      2016-1-7     no    
    40031      2017-7-25    no    
    96522      2016-8-21    no    
    52062      2018-1-11    no    
    14998      2017-2-18    no    
