Membership No  Date Joined  Active  
    59140      2019-1-6     no    
    33291      2017-4-7     no    
    54923      2019-10-24   no    
    62365      2018-7-13    no    
    88890      2018-9-4     no    
    56931      2015-4-23    no    
    23761      2019-11-22   no    
    71239      2018-10-7    no    
    82650      2020-3-21    no    
    66757      2019-2-16    no    
    95662      2018-6-1     no    
    53211      2016-2-3     no    
    69604      2016-2-6     no    
    11838      2018-7-24    no    
    22878      2019-12-6    no    
    19917      2016-10-22   no    
